prior_season,target_season,matched_players,evaluated_players,model_spearman,persistence_spearman,spearman_lift,score_spearman,top20_overlap,persistence_top20_overlap,top20_lift,ndcg50,persistence_ndcg50,mae_total_proxy,understat_available
2019-20,2020-21,358,358,0.5654539434288502,0.552962867654977,0.0124910757738732,0.5696713141661695,0.471875,0.5614583333333334,-0.0895833333333334,0.8322577192974158,0.8480477755432229,59.0226258231929,True
2020-21,2021-22,342,342,0.4706115079197097,0.4604899430893404,0.0101215648303693,0.4578640097760317,0.3701818561872909,0.4214360367892976,-0.0512541806020067,0.774104830422314,0.789924373271969,59.21005609614264,True
2021-22,2022-23,342,342,0.4118109007219355,0.4290682213010848,-0.0172573205791493,0.4042489357521029,0.3198097826086956,0.3198097826086956,0.0,0.707749352370976,0.7099666499198837,53.84060779296563,True
2022-23,2023-24,323,323,0.4326075682193083,0.4230782038523183,0.0095293643669899,0.3957644001730873,0.3857142857142857,0.375297619047619,0.0104166666666666,0.7277347049763903,0.717637267942273,72.77207805058158,True
2023-24,2024-25,339,339,0.3597999752891266,0.3906827192889543,-0.0308827439998277,0.3325454254152399,0.3940643648763853,0.4049339300937766,-0.0108695652173913,0.7270165202042758,0.7395605768054619,65.93911710879078,True
2024-25,2025-26,351,351,0.3489448964408106,0.3596365250959566,-0.0106916286551459,0.3459355898770359,0.4084694078300216,0.4193389730474129,-0.0108695652173913,0.7086650735070027,0.6916387355155057,65.71261506621093,True
