prior_season,target_season,training_folds,evaluated_players,v1_spearman,persistence_spearman,v2_spearman,v2_lift_vs_v1,v2_lift_vs_persistence,v1_top20,persistence_top20,v2_top20,v2_ndcg50,persistence_ndcg50,is_final_holdout,alpha_p,alpha_d,alpha_c,alpha_a
2021-22,2022-23,2,342,0.4118109007219355,0.4290682213010848,0.38824788315132536,-0.023563017570610134,-0.04082033814975944,0.31980978260869564,0.31980978260869564,0.31980978260869564,0.6660413865413061,0.7099666499198837,False,0.5,1.0,0.75,0.8
2022-23,2023-24,3,323,0.43260756821930835,0.42307820385231837,0.4016016590278207,-0.031005909191487657,-0.02147654482449768,0.3857142857142857,0.37529761904761905,0.3857142857142857,0.6944551456326503,0.717637267942273,False,0.0,0.95,0.25,0.8
2023-24,2024-25,4,339,0.3597999752891266,0.3906827192889543,0.3509450883336973,-0.008854886955429297,-0.03973763095525701,0.3940643648763853,0.40493393009377665,0.3940643648763853,0.69627327528175,0.7395605768054619,False,0.0,0.95,0.8,0.25
2024-25,2025-26,5,351,0.34894489644081067,0.3596365250959566,0.3374472135701386,-0.011497682870672044,-0.02218931152581799,0.4084694078300216,0.41933897304741297,0.41933897304741297,0.6717761323994645,0.6916352603293143,True,0.0,0.5,0.7,0.25
